--------------------------------	
2008.5	384.73904
2009.5	386.28000
2010.5	388.71704
2011.5	390.94406
2012.5	393.01599
2013.5	395.72501
2014.5	397.54700
2015.5	399.9487915
2016.5	403.1169739
2017.5	405.7939758
2018.5	408.7599487
2019.5	411.7899475
2020.5	414.8909607
2021.5	418.0649719
2022.5	421.3349609
2023.5	424.7209473
2024.5	428.2199402
2025.5	431.8299561
2026.5	435.5499573
2027.5	439.3779602
2028.5	443.3149414
2029.5	447.3609619
2030.5	451.5149536
2031.5	455.7789612
2032.5	460.1639404
2033.5	464.6819458
2034.5	469.3309326
2035.5	474.1119385
2036.5	479.0249329
2037.5	484.0719299
2038.5	489.2519226
2039.5	494.566925
2040.5	500.0189209
2041.5	505.6079407
2042.5	511.3419189
2043.5	517.2279053
2044.5	523.2669067
2045.5	529.4598999
2046.5	535.8088989
2047.5	542.3139038
2048.5	548.9769287
2049.5	555.7999268
2050.5	562.7839355
2051.5	569.9299316
2052.5	577.2579346
2053.5	584.7839355
2054.5	592.506897
2055.5	600.428894
2056.5	608.5499268
2057.5	616.8699341
2058.5	625.3909302
2059.5	634.1138916
2060.5	643.0408936
2061.5	652.171875
2062.5	661.506897
2063.5	671.0449219
2064.5	680.7888794
2065.5	690.7388916
2066.5	700.8988647
2067.5	711.2688599
2068.5	721.8508911
2069.5	732.6478882
2070.5	743.6618652
2071.5	754.8928833
2072.5	766.322876
2073.5	777.9298706
2074.5	789.7188721
2075.5	801.6908569
2076.5	813.8479004
2077.5	826.1928711
2078.5	838.7268677
2079.5	851.4518433
2080.5	864.3688965
2081.5	877.4798584
2082.5	890.7088623
2083.5	903.980896
2084.5	917.3008423
2085.5	930.6708374
2086.5	944.0918579
2087.5	957.5668945
2088.5	971.0958862
2089.5	984.6808472
2090.5	998.3208618
2091.5	1012.019836
2092.5	1025.739868
2093.5	1039.449829
2094.5	1053.149902
2095.5	1066.849854
2096.5	1080.529907
2097.5	1094.209839
2098.5	1107.889893
2099.5	1121.549927
2100.5	1135.209839
2101.5	1148.859863
2102.5	1162.469849
2103.5	1176.029907
2104.5	1189.529907
2105.5	1202.979858
2106.5	1216.369873
2107.5	1229.699829
2108.5	1242.969849
2109.5	1256.189819
2110.5	1269.349854
2111.5	1282.449829
2112.5	1295.489868
2113.5	1308.469849
2114.5	1321.389893
2115.5	1334.249878
2116.5	1347.049927
2117.5	1359.779907
2118.5	1372.439941
2119.5	1385.039917
2120.5	1397.569946
2121.5	1410.039917
2122.5	1422.429932
2123.5	1434.759888
2124.5	1447.009888
2125.5	1459.189941
2126.5	1471.289917
2127.5	1483.319946
2128.5	1495.279907
2129.5	1507.159912
2130.5	1518.959839
2131.5	1530.679932
2132.5	1542.319946
2133.5	1553.879883
2134.5	1565.359863
2135.5	1576.759888
2136.5	1588.079956
2137.5	1599.309937
2138.5	1610.449951
2139.5	1621.509888
2140.5	1632.489868
2141.5	1643.379883
2142.5	1654.169922
2143.5	1664.879883
2144.5	1675.509888
2145.5	1686.039917
2146.5	1696.479858
2147.5	1706.819946
2148.5	1717.079956
2149.5	1727.239868
2150.5	1737.319946
2151.5	1747.289917
2152.5	1757.169922
2153.5	1766.949951
2154.5	1776.639893
2155.5	1786.219971
2156.5	1795.699951
2157.5	1805.079956
2158.5	1814.359863
2159.5	1823.539917
2160.5	1832.609863
2161.5	1841.579956
2162.5	1850.459961
2163.5	1859.219971
2164.5	1867.889893
2165.5	1876.449951
2166.5	1884.899902
2167.5	1893.239868
2168.5	1901.489868
2169.5	1909.619873
2170.5	1917.649902
2171.5	1925.579956
2172.5	1933.399902
2173.5	1941.109985
2174.5	1948.709961
2175.5	1956.209961
2176.5	1963.599976
2177.5	1970.879883
2178.5	1978.049927
2179.5	1985.109985
2180.5	1992.069946
2181.5	1998.929932
2182.5	2005.669922
2183.5	2012.299927
2184.5	2018.829956
2185.5	2025.25
2186.5	2031.559937
2187.5	2037.759888
2188.5	2043.849976
2189.5	2049.810059
2190.5	2055.659912
2191.5	2061.419922
2192.5	2067.089844
2193.5	2072.639893
2194.5	2078.060059
2195.5	2083.379883
2196.5	2088.589844
2197.5	2093.679932
2198.5	2098.669922
2199.5	2103.540039
2200.5	2108.310059
2201.5	2112.959961
2202.5	2117.51001
2203.5	2121.949951
2204.5	2126.27002
2205.5	2130.48999
2206.5	2134.589844
2207.5	2138.599854
2208.5	2142.47998
2209.5	2146.26001
2210.5	2149.929932
2211.5	2153.47998
2212.5	2156.919922
2213.5	2160.23999
2214.5	2163.459961
2215.5	2166.570068
2216.5	2169.580078
2217.5	2172.47998
2218.5	2175.27002
2219.5	2177.929932
2220.5	2180.48999
2221.5	2182.949951
2222.5	2185.290039
2223.5	2187.52002
2224.5	2189.649902
2225.5	2191.669922
2226.5	2193.570068
2227.5	2195.330078
2228.5	2197.01001
2229.5	2198.590088
2230.5	2200.070068
2231.5	2201.429932
2232.5	2202.659912
2233.5	2203.790039
2234.5	2204.810059
2235.5	2205.72998
2236.5	2206.530029
2237.5	2207.22998
2238.5	2207.810059
2239.5	2208.290039
2240.5	2208.649902
2241.5	2208.909912
2242.5	2209.070068
2243.5	2209.110107
2244.5	2209.030029
2245.5	2208.840088
2246.5	2208.570068
2247.5	2208.189941
2248.5	2207.689941
2249.5	2207.070068
2250.5	2206.350098
2251.5	2205.52002
2252.5	2204.639893
2253.5	2203.75
2254.5	2202.860107
2255.5	2201.969971
2256.5	2201.100098
2257.5	2200.219971
2258.5	2199.340088
2259.5	2198.439941
2260.5	2197.540039
2261.5	2196.629883
2262.5	2195.72998
2263.5	2194.830078
2264.5	2193.949951
2265.5	2193.060059
2266.5	2192.159912
2267.5	2191.25
2268.5	2190.340088
2269.5	2189.429932
2270.5	2188.530029
2271.5	2187.620117
2272.5	2186.719971
2273.5	2185.820068
2274.5	2184.899902
2275.5	2183.98999
2276.5	2183.090088
2277.5	2182.189941
2278.5	2181.290039
2279.5	2180.399902
2280.5	2179.5
2281.5	2178.600098
2282.5	2177.699951
2283.5	2176.800049
2284.5	2175.909912
2285.5	2175.01001
2286.5	2174.120117
2287.5	2173.22998
2288.5	2172.340088
2289.5	2171.459961
2290.5	2170.570068
2291.5	2169.679932
2292.5	2168.790039
2293.5	2167.909912
2294.5	2167.030029
2295.5	2166.139893
2296.5	2165.27002
2297.5	2164.399902
2298.5	2163.52002
2299.5	2162.629883
2300.5	2161.73999
2301.5	2160.870117
2302.5	2160
2303.5	2159.139893
2304.5	2158.27002
2305.5	2157.399902
2306.5	2156.530029
2307.5	2155.659912
2308.5	2154.790039
2309.5	2153.919922
2310.5	2153.060059
2311.5	2152.219971
2312.5	2151.370117
2313.5	2150.52002
2314.5	2149.659912
2315.5	2148.810059
2316.5	2147.949951
2317.5	2147.090088
2318.5	2146.23999
2319.5	2145.389893
2320.5	2144.540039
2321.5	2143.699951
2322.5	2142.860107
2323.5	2142.02002
2324.5	2141.169922
2325.5	2140.310059
2326.5	2139.459961
2327.5	2138.620117
2328.5	2137.800049
2329.5	2136.959961
2330.5	2136.139893
2331.5	2135.320068
2332.5	2134.469971
2333.5	2133.620117
2334.5	2132.800049
2335.5	2131.98999
2336.5	2131.139893
2337.5	2130.290039
2338.5	2129.469971
2339.5	2128.649902
2340.5	2127.830078
2341.5	2127
2342.5	2126.179932
2343.5	2125.379883
2344.5	2124.570068
2345.5	2123.75
2346.5	2122.919922
2347.5	2122.100098
2348.5	2121.290039
2349.5	2120.47998
2350.5	2119.669922
2351.5	2118.860107
2352.5	2118.050049
2353.5	2117.23999
2354.5	2116.429932
2355.5	2115.629883
2356.5	2114.820068
2357.5	2114.02002
2358.5	2113.209961
2359.5	2112.409912
2360.5	2111.600098
2361.5	2110.810059
2362.5	2110.01001
2363.5	2109.219971
2364.5	2108.419922
2365.5	2107.620117
2366.5	2106.830078
2367.5	2106.030029
2368.5	2105.23999
2369.5	2104.449951
2370.5	2103.659912
2371.5	2102.879883
2372.5	2102.090088
2373.5	2101.300049
2374.5	2100.530029
2375.5	2099.73999
2376.5	2098.949951
2377.5	2098.169922
2378.5	2097.389893
2379.5	2096.610107
2380.5	2095.830078
2381.5	2095.040039
2382.5	2094.26001
2383.5	2093.48999
2384.5	2092.72998
2385.5	2091.949951
2386.5	2091.169922
2387.5	2090.389893
2388.5	2089.620117
2389.5	2088.870117
2390.5	2088.090088
2391.5	2087.300049
2392.5	2086.550049
2393.5	2085.800049
2394.5	2085.030029
2395.5	2084.25
2396.5	2083.47998
2397.5	2082.72998
2398.5	2081.969971
2399.5	2081.22998
2400.5	2080.47998
2401.5	2079.699951
2402.5	2078.949951
2403.5	2078.219971
2404.5	2077.459961
2405.5	2076.689941
2406.5	2075.939941
2407.5	2075.189941
2408.5	2074.439941
2409.5	2073.689941
2410.5	2072.949951
2411.5	2072.199951
2412.5	2071.439941
2413.5	2070.709961
2414.5	2069.969971
2415.5	2069.219971
2416.5	2068.47998
2417.5	2067.73999
2418.5	2067
2419.5	2066.26001
2420.5	2065.530029
2421.5	2064.790039
2422.5	2064.050049
2423.5	2063.320068
2424.5	2062.590088
2425.5	2061.860107
2426.5	2061.129883
2427.5	2060.399902
2428.5	2059.659912
2429.5	2058.929932
2430.5	2058.209961
2431.5	2057.48999
2432.5	2056.77002
2433.5	2056.050049
2434.5	2055.320068
2435.5	2054.600098
2436.5	2053.870117
2437.5	2053.139893
2438.5	2052.419922
2439.5	2051.699951
2440.5	2050.97998
2441.5	2050.26001
2442.5	2049.550049
2443.5	2048.830078
2444.5	2048.120117
2445.5	2047.410034
2446.5	2046.699951
2447.5	2045.97998
2448.5	2045.280029
2449.5	2044.579956
2450.5	2043.880005
2451.5	2043.170044
2452.5	2042.459961
2453.5	2041.75
2454.5	2041.050049
2455.5	2040.359985
2456.5	2039.650024
2457.5	2038.939941
2458.5	2038.23999
2459.5	2037.550049
2460.5	2036.859985
2461.5	2036.150024
2462.5	2035.449951
2463.5	2034.75
2464.5	2034.060059
2465.5	2033.369995
2466.5	2032.689941
2467.5	2032
2468.5	2031.300049
2469.5	2030.599976
2470.5	2029.920044
2471.5	2029.23999
2472.5	2028.550049
2473.5	2027.849976
2474.5	2027.160034
2475.5	2026.469971
2476.5	2025.790039
2477.5	2025.109985
2478.5	2024.430054
2479.5	2023.73999
2480.5	2023.069946
2481.5	2022.420044
2482.5	2021.719971
2483.5	2021.040039
2484.5	2020.400024
2485.5	2019.699951
2486.5	2019.02002
2487.5	2018.369995
2488.5	2017.670044
2489.5	2016.98999
2490.5	2016.349976
2491.5	2015.680054
2492.5	2015
2493.5	2014.329956
2494.5	2013.670044
2495.5	2013.01001
2496.5	2012.339966
2497.5	2011.670044
2498.5	2011.01001
2499.5	2010.359985
2500.5	2010.02002

